Referans,2023 Liste Fiyatı,Para Birimi
A9F83206,1013.2,TL
A9F83220,1013.2,TL
A9F83240,1751,TL
A9F83302,2791.4,TL
A9F83306,2063.8,TL
A9F84101,394.4,TL
A9F84103,380.8,TL
A9F84104,380.8,TL
A9F84106,333.2,TL
A9F84110,333.2,TL
A9F84120,333.2,TL
A9F84125,333.2,TL
A9F84140,455.6,TL
A9F84150,595,TL
A9F84163,795.6,TL
A9F84201,1105,TL
A9F84202,1105,TL
A9F84204,1105,TL
A9F84206,958.8,TL
A9F84210,958.8,TL
A9F84216,958.8,TL
A9F84225,958.8,TL
A9F84232,1040.4,TL
A9F84240,1298.8,TL
A9F84250,1727.2,TL
A9F84263,2053.6,TL
A9F84270,1173,TL
A9F84301,1720.4,TL
A9F84304,1649,TL
A9F84306,1339.6,TL
A9F84316,1339.6,TL
A9F84320,1339.6,TL
A9F84325,1339.6,TL
A9F84332,1400.8,TL
A9F84340,1632,TL
A9F84370,1825.8,TL
A9F84401,2169.2,TL
A9F84402,2040,TL
A9F84403,2040,TL
A9F84406,1825.8,TL
A9F84416,1825.8,TL
A9F84420,1825.8,TL
A9F84425,1825.8,TL
A9F84432,1910.8,TL
A9F84440,2121.6,TL
A9F84450,2886.6,TL
A9F84470,2240.6,TL
A9F85116,421.6,TL
A9F85125,632.4,TL
A9F85132,462.4,TL
A9F85204,1411,TL
A9F85206,1064.2,TL
A9F85306,1499.4,TL
A9F85310,1499.4,TL
A9F85316,1499.4,TL
A9F85320,1499.4,TL
A9F85332,1557.2,TL
A9F85350,2230.4,TL
A9F85363,2499,TL
MIP99050,1183.2,TL
MIP99040,319.6,TL
MIP99039,306,TL
MIP99038,183.6,TL
MIP99037,183.6,TL
MIP99036,251.6,TL
MIP99034,299.2,TL
13178,1540.2,TL
13180,2366.4,TL
13182,3716.2,TL
13189,1717,TL
13135,156.4,TL
13137,156.4,TL
13136,156.4,TL
13934,367.2,TL
13597,183.6,TL
13598,183.6,TL
MIP10104,564.4,TL
MIP10106,612,TL
MIP10106T,612,TL
MIP10108,676.6,TL
MIP10108T,676.6,TL
MIP10112,928.2,TL
MIP10112T,928.2,TL
MIP10118,1285.2,TL
MIP10118T,1285.2,TL
MIP10212,1774.8,TL
MIP10212T,1632,TL
MIP10312,2325.6,TL
MIP10312T,2325.6,TL
MIP20104,564.4,TL
MIP20106,612,TL
MIP20108,676.6,TL
MIP20108T,676.6,TL
MIP20112,928.2,TL
MIP20118,1285.2,TL
MIP20118T,1285.2,TL
MIP20212,1632,TL
MIP20312,2135.2,TL
MIP20312T,2135.2,TL
MIP30106T,387.6,TL
MIP30108,391,TL
MIP30108T,421.6,TL
MIP30112,544,TL
MIP30112T,544,TL
MIP30118,686.8,TL
MIP30118T,744.6,TL
MIP30212,884,TL
MIP30212T,958.8,TL
MIP30312,1149.2,TL
MIP30312T,1241,TL
MIP80108,214.2,TL
MIP80112,244.8,TL
MIP80212,639.2,TL
MIP80312,476,TL
MGN61525,1111.8,TL
PRA20418,10098,TL
PRA15418,2322.2,TL
16329,11798,TL
16331,29172,TL
16332,32504,TL
16314,6630,TL
16315,6630,TL
16316,2206.6,TL
16317,6630,TL
16363,29512,TL
CCT15860,5440,TL
CCT15233,3634.6,TL
PRA25413,7276,TL
PRA15413,1965.2,TL
16907,13464,TL
15508,1026.8,TL
15335,1462,TL
15363,1271.6,TL
EZ9EUH212,1516.4,TL
EZ9EUH108,656.2,TL
EZ9EUH112,853.4,TL
EZ9EUH312,1893.8,TL
EZ9F34340,652.8,TL
EZ9F34106,136,TL
EZ9F34110,112.2,TL
EZ9F34116,112.2,TL
EZ9F34120,112.2,TL
EZ9F34125,112.2,TL
EZ9F34132,142.8,TL
EZ9F34140,166.6,TL
EZ9F34306,571.2,TL
EZ9F34310,527,TL
EZ9F34316,527,TL
EZ9F34320,527,TL
EZ9F34325,527,TL
EZ9F34332,591.6,TL
EZ9R36225,1115.2,TL
EZ9R36240,1159.4,TL
EZ9R36425,1489.2,TL
EZ9R36440,1536.8,TL
A9D37606,3151.8,TL
A9C32836,1377,TL
EZ9F34410,727.6,TL
EZ9F34420,727.6,TL
EZ9F34425,727.6,TL
EZ9F14150,187,TL
EZ9F14163,193.8,TL
EZ9F14206,173.4,TL
EZ9F14210,153,TL
EZ9F14216,153,TL
EZ9F14220,153,TL
EZ9F14225,163.2,TL
EZ9F14232,163.2,TL
EZ9F14240,190.4,TL
EZ9F14250,221,TL
EZ9F14263,231.2,TL
EZ9F14306,207.4,TL
EZ9F14310,187,TL
EZ9F14316,197.2,TL
EZ9F14320,197.2,TL
EZ9F14325,197.2,TL
EZ9F14332,204,TL
EZ9F14340,210.8,TL
EZ9F14350,231.2,TL
EZ9F14363,238,TL
EZ9F14406,238,TL
EZ9F14410,255,TL
EZ9F14416,255,TL
EZ9F14420,255,TL
EZ9F34432,751.4,TL
EZ9F14425,265.2,TL
EZ9F14432,272,TL
EZ9F14440,295.8,TL
